Gene,AJ2,AJ3,AJ4,AN2,AN3,AN4
Spis1888,933,600,2666,1135,638,946
Spis1889,3104,1345,8127,3505,1965,2673
Spis1890,932,514,2363,906,559,838
Spis1891,2156,939,4879,2563,1634,1982
Spis1892,1084,555,2957,1428,777,1180
Spis1893,1013,473,2568,1043,594,951
Spis1894,429,253,1099,500,284,426
Spis1895,154,70,436,113,82,201
Spis1896,1147,772,2502,1435,913,1003
Spis1897,385,220,865,422,266,350
Spis1898,1313,646,3254,1281,829,1034
Spis1899,1048,530,2309,1098,695,856
Spis1900,4204,2913,8962,7499,3420,3026
Spis1901,2661,1670,5462,2232,2055,3399
Spis1902,890,523,2194,956,611,793
Spis1903,951,483,2344,1002,670,845
Spis1904,697,380,1403,895,460,477
Spis1905,4901,3134,11805,5718,3416,5444
Spis1906,1903,1186,3904,1828,1590,2031
Spis1907,502,301,1281,588,380,497
Spis1908,47,33,113,41,36,33
Spis1909,651,401,1459,742,404,500
Spis1910,1262,523,2920,1471,893,1030
Spis1911,475,249,1400,510,339,435
Spis1912,401,208,939,396,247,366
Spis1913,75,56,257,119,67,84
Spis1914,85,70,226,113,54,84
Spis1915,1367,564,2909,1484,806,941
Spis1916,244,113,554,261,157,231
Spis1917,1549,720,3736,1388,809,1263
Spis1918,705,372,1917,805,406,650
Spis1919,1800,1077,4053,1977,1307,1694
Spis1920,492,231,1330,483,306,513
Spis1921,1311,586,2320,1307,744,890
Spis1922,889,619,2877,958,610,1029
Spis1923,537,349,1460,743,514,786
Spis1924,1240,614,3177,1402,839,1101
Spis1925,787,405,1755,713,444,615
Spis1926,1589,819,3992,1785,1050,1526
Spis1927,735,420,1857,734,414,628
Spis1928,1131,603,2627,1273,771,889
Spis1929,1592,808,2311,2140,689,883
Spis1930.t1,109,35,213,75,59,88
Spis1931,1647,819,4102,2011,1233,1558
Spis1932,703,415,1958,782,513,611
Spis1933,747,516,2358,956,643,852
Spis1934,1653,844,3298,1805,1095,1337
Spis1935,971,435,2099,896,539,776
Spis1936,973,494,2243,909,623,731
Spis1937,3927,2876,7612,4010,3174,4864
Spis1938,538,372,1384,658,386,496
Spis1939,111,74,237,126,73,81
Spis1940,869,505,2201,933,555,809
Spis1941,1318,655,3295,1540,809,1094
Spis1942,4016,1887,10265,4367,2310,4406
Spis1943,956,511,2600,1103,793,893
Spis1944,259,135,737,297,193,296
Spis1945,2356,953,4944,2889,1474,1849
Spis1946,261,151,569,240,167,254
Spis1947,768,389,1548,604,408,827
Spis1948,1803,930,4868,2003,1177,1722
Spis1949,1215,658,3494,1553,881,1388
Spis1950,309,187,750,397,246,336
Spis1951,746,410,1694,815,518,638
Spis1952,463,244,1126,425,239,577
Spis1953,601,294,1222,644,360,483
Spis1954,729,365,1634,689,372,665
Spis1955,914,460,1930,1190,650,844
Spis1956,731,393,1453,609,357,511
Spis1957,465,248,1229,534,302,519
Spis1958,150,125,334,218,110,112
Spis1959,1123,586,3186,1518,800,1223
Spis1960,562,276,1259,719,467,474
Spis1961,234,118,466,206,181,165
Spis1962,157,114,445,198,145,155
Spis1963,731,348,2109,801,462,676
Spis1964,514,304,1116,593,416,438
Spis1965,988,560,2583,990,662,855
Spis1966,1432,758,4028,1813,1150,1435
Spis1967,624,411,2373,641,504,888
Spis1968,112,70,219,142,104,94
Spis1969,943,450,2336,1135,661,974
Spis1970,66,48,149,62,47,49
Spis1971,118,76,221,151,91,103
Spis1972,892,417,2203,968,624,771
Spis1973,245,154,637,239,164,223
Spis1974,972,419,2272,915,494,697
Spis1975,297,157,712,328,237,274
Spis1976,421,230,888,503,258,410
Spis1977,1805,741,4424,1935,1060,1686
Spis1978,515,366,1725,540,370,577
Spis1979,561,326,1667,675,424,566
Spis1980,1331,708,3889,1703,918,1219
Spis1981,1634,942,3948,1682,1032,1288
Spis1982,333,195,927,347,238,298
Spis1983,418,368,996,405,265,419
Spis1984,865,481,2353,847,569,862
Spis1985,1017,544,2650,1223,702,908
Spis1986,40,34,105,74,60,44
Spis1987,892,354,1633,915,471,575
Spis1988,676,371,1539,649,404,663
Spis1989,697,355,1677,698,435,585
Spis1990,567,323,1631,641,394,550
Spis1991,1875,1075,3790,1394,1209,1970
Spis1992,566,267,1565,513,355,538
Spis1993,1745,1028,4330,2126,1091,1458
Spis1994,535,277,1040,592,352,432
Spis1995,1077,575,2657,1217,749,973
Spis1996,253,154,618,281,190,252
Spis1997,193,141,598,255,175,206
Spis1998,619,260,1525,552,378,531
Spis1999.t1,179,68,360,169,137,192
Spis2000,459,193,1049,445,290,326
Spis2001,577,329,1485,747,446,567
Spis2002,4516,3367,6474,8472,4337,2401
Spis2003,668,395,2264,869,613,847
Spis2004,504,277,1389,643,320,463
Spis2005,255,130,550,259,145,213
Spis2006,161,91,334,150,92,132
Spis2007,492,322,1520,669,416,761
Spis2008,237,193,398,319,167,207
Spis2009,76,64,212,120,61,98
Spis2010,77,73,158,105,70,53
Spis2011,265,142,729,318,150,237
Spis2012,1111,511,2973,1243,678,993
Spis2013,426,207,1115,425,240,350
Spis2014,360,173,726,357,224,349
Spis2015,328,194,738,398,256,310
Spis2016,501,298,1174,648,393,447
Spis2017,708,393,1734,770,523,650
Spis2018,3859,2792,8221,3408,2883,5519
Spis2019,1240,601,3842,1425,919,1244
Spis2020,1244,504,2748,1031,643,942
Spis2021,996,561,2176,1099,723,856
Spis2022,1626,850,3494,2056,1197,1354
Spis2023,6045,3136,12440,5589,4092,6299
Spis2024,1444,684,3002,1455,779,1065
Spis2025,1445,874,3324,1431,844,1054
Spis2026,985,500,2481,1247,622,850
Spis2027,495,285,1149,601,351,414
Spis2028,213,92,507,240,171,211
Spis2029,845,524,2429,1050,718,950
Spis2030,822,520,2479,1015,613,912
Spis2031,239,189,633,283,176,267
Spis2032,983,474,2603,2735,1296,2196
Spis2033,572,333,1212,563,328,399
Spis2034,785,465,2034,938,523,712
Spis2035,2668,1696,4775,2442,1799,2722
Spis2036,137,90,395,237,158,171
Spis2037,1278,654,3249,1548,918,1186
Spis2038,452,202,1278,520,321,388
Spis2039,3406,1549,5477,3684,2114,1873
Spis2040,1078,556,2505,1185,739,933
Spis2041,1106,551,2346,1092,648,883
Spis2042.t1,38,22,89,34,22,31
Spis2043.t1,109,58,311,111,94,87
Spis2044,149,69,394,178,110,141
Spis2045,713,454,1899,889,608,763
Spis2046,522,434,4205,635,503,1331
Spis2047,224,140,505,230,186,232
Spis2048,1104,514,2631,1443,727,888
Spis2049,460,281,935,518,313,358
Spis2050,1469,911,2772,1218,890,1001
Spis2051,685,375,1683,751,460,621
Spis2052,1348,683,4315,1466,846,1491
Spis2053,874,518,2551,1122,626,787
Spis2054,867,454,2267,966,617,895
Spis2055,2204,978,4686,2662,1504,1669
Spis2056,1464,1153,2317,1699,1022,1207
Spis2057,262,178,647,319,235,256
Spis2058,82,66,606,91,84,183
Spis2059,1374,679,3603,1368,893,1083
Spis2060,526,287,1312,627,380,523
Spis2061,1479,849,3831,1905,1135,1390
Spis2062,1071,474,2557,1080,522,881
Spis2064,659,342,1459,605,402,557
Spis2065,561,341,1305,718,399,465
Spis2066,56,45,175,81,58,83
Spis2067,1845,1115,4923,2382,1372,1605
Spis2068,2091,1012,5131,2504,1286,1744
Spis2069,1213,594,3074,1604,796,1043
Spis2070.t1,43,16,90,52,45,48
Spis2071,547,294,1385,624,359,653
Spis2072,340,220,1155,428,276,535
Spis2073,206,160,480,219,150,220
Spis2074,89,46,307,85,62,111
Spis2075,1053,437,2064,981,636,748
Spis2076,402,220,992,499,277,379
Spis2077,694,381,1677,698,457,719
Spis2078,11,13,31,11,12,12
Spis2079,633,314,1350,731,351,405
Spis2080,266,159,671,264,172,219
Spis2081,173,110,455,205,120,204
Spis2082,626,363,1646,637,422,602
Spis2083,721,466,2076,683,464,811
Spis2084,1019,553,2069,1306,707,816
Spis2085,2726,1403,7041,3097,1747,2660
Spis2086,452,274,1212,547,337,444
Spis2087,1267,697,3199,1504,959,1187
Spis2088,772,324,1275,822,464,606
Spis2089,111,80,603,139,118,186
Spis2090,1638,308,1819,742,393,696
Spis2091,317,205,808,323,215,283
Spis2092,615,341,1419,639,404,520
Spis2093,176,114,509,198,148,242
Spis2094,325,163,1002,405,242,309
Spis2095,1503,954,2720,1646,1199,1111
Spis2096,190,107,419,167,119,156
Spis2097,458,246,1355,670,448,568
Spis2098,708,430,1695,754,479,698
Spis2099.t2,25,22,65,30,20,20
Spis2100,411,195,1016,446,268,332
Spis2101.t1,50,35,163,52,30,49
Spis2102.t1,147,131,552,314,172,185
Spis2103,687,345,1721,706,394,585
Spis2104,1094,509,2603,1723,966,936
Spis2105,1512,876,3527,1680,1030,1264
Spis2106,412,216,974,364,212,317
Spis2108,1032,545,2801,1342,739,1106
Spis2109,888,419,1899,901,622,760
Spis2110,183,96,456,222,95,188
Spis2111,301,170,684,312,181,223
Spis2112,496,309,1156,644,324,408
Spis2113,840,386,2286,961,628,868
Spis2114,956,486,1970,999,541,751
Spis2115,479,320,1584,596,383,594
Spis2116,997,508,2634,1235,739,986
Spis2117,534,352,1360,824,531,583
Spis2118,387,234,898,381,239,352
Spis2119.t2,50,47,101,57,17,38
Spis2120,255,188,600,274,190,240
Spis2121,3997,2400,7642,3258,2545,4789
Spis2122,3420,2160,7563,2676,1507,2451
Spis2123,562,324,1399,668,377,555
Spis2124,873,395,2341,1051,581,769
Spis2125,1154,618,3540,1315,774,1150
Spis2126,2350,1443,5842,2407,1720,2706
Spis2127.t2,490,191,843,445,365,346
Spis2128,629,398,1269,636,426,541
Spis2129.t1,80,54,232,138,68,50
Spis2130,597,298,1238,695,354,420
Spis2131,829,535,2213,997,615,796
Spis2132,808,541,2228,1013,691,746
Spis2133,1516,642,2966,1316,741,910
Spis2134,432,253,1077,558,311,350
Spis2135,29,20,26,28,24,9
Spis2136,681,353,1673,778,519,648
Spis2137,544,319,1338,589,384,503
Spis2138,491,275,1391,547,329,485
Spis2139,135,103,285,111,55,112
Spis2140,535,310,1282,775,493,510
Spis2141,1449,717,3135,1683,929,1115
Spis2142,150,67,302,172,90,93
Spis2143,391,198,894,559,339,367
Spis2144.t1,83,52,150,80,47,54
Spis2145,1038,615,2284,954,598,777
Spis2146,775,452,2352,815,513,856
Spis2147,736,411,1838,1042,607,727
Spis2148,411,154,741,417,210,285
Spis2149,977,460,2252,992,593,864
Spis2150,1563,876,4375,1949,1107,1622
Spis2151,1028,599,1948,1205,721,623
Spis2152,1074,603,2207,1431,792,729
Spis2153.t2,365,192,879,508,297,321
Spis2154,816,414,2136,938,528,823
Spis2155,232,173,607,298,158,212
Spis2156.t1,30,8,55,27,23,20
Spis2157,196,121,621,321,174,297
Spis2158,260,166,823,338,204,297
Spis2159,223,144,519,263,157,221
Spis2160,326,190,909,335,200,334
Spis2161,2013,757,3903,1448,921,1549
Spis2162,346,212,845,396,235,324
Spis2163,583,249,1182,577,418,504
Spis2164,1044,580,3224,1061,686,1169
Spis2165,916,410,2418,1011,582,748
Spis2166,168,112,481,225,142,174
Spis2167,246,124,556,299,187,243
Spis2168,832,389,1695,916,545,788
Spis2169,1219,613,2715,1510,768,948
Spis2170,258,145,628,278,170,289
Spis2171,1194,628,2417,1212,734,1035
Spis2172,216,148,444,265,166,211
Spis2173,409,206,885,407,268,304
Spis2174,264,184,753,385,245,288
Spis2175,237,179,623,295,210,311
Spis2176,529,280,1276,478,296,327
Spis2177,1745,1021,4626,1389,934,1565
Spis2178,5019,2981,10855,4634,3390,5559
Spis2179,167,98,403,157,135,149
Spis2180,1229,629,3356,1539,868,1066
Spis2181,134,87,261,131,90,87
Spis2182,583,359,1171,767,415,426
Spis2183,422,299,1001,452,241,322
Spis2184.t1,140,56,395,171,83,180
Spis2186,520,295,1454,625,394,521
Spis2187,949,552,2711,1420,690,908
Spis2188,249,123,566,286,180,227
Spis2189.t1,227,104,463,202,139,122
Spis2190,176,62,384,170,116,167
Spis2191,138,114,432,210,152,160
Spis2192,211,145,555,227,168,179
Spis2193.t1,80,32,143,61,30,53
Spis2194,22,16,34,27,15,22
Spis2195,3077,1686,7514,1076,664,966
Spis2196,741,506,2693,862,541,852
Spis2197,777,484,2529,755,547,909
Spis2198,1704,829,4356,2356,1126,1454
Spis2199.t1,79,53,244,76,52,73
Spis2200,418,207,1117,412,272,402
Spis2201,382,233,950,411,247,350
Spis2202,151,77,431,155,114,138
Spis2203,428,222,1321,499,288,425
Spis2204,77,56,133,88,65,52
Spis2205,1164,568,2671,1782,857,1044
Spis2206,83,55,239,83,67,86
Spis2207.t1,83,50,209,102,60,89
Spis2208,1022,570,3824,1263,822,1194
Spis2209,288,140,742,305,223,268
Spis2210,564,317,1799,797,491,625
Spis2211,2825,1545,5776,3875,2188,2622
Spis2212,1529,583,3300,1663,900,1098
Spis2213,133,103,327,166,112,177
Spis2214,581,286,1420,736,389,497
Spis2215,466,330,1250,622,364,445
Spis2216,91,55,254,104,66,87
Spis2217.t1,375,217,828,328,172,337
Spis2218,160,106,401,194,111,146
Spis2219,89,47,250,86,41,59
Spis2220.t2,83,32,213,81,57,59
Spis2221,721,344,1545,987,440,514
Spis2222,325,180,798,333,219,332
Spis2223,199,102,589,259,147,168
Spis2224,436,205,698,366,250,292
Spis2225,258,119,639,264,147,235
Spis2226,503,251,1010,501,396,350
Spis2227,1147,699,2759,1187,758,1011
Spis2229.t1,75,41,146,76,47,52
Spis2230.t1,108,78,337,132,87,145
Spis2232,585,223,1535,446,271,495
Spis2233,3611,1124,6861,1888,1173,1874
Spis2234,370,196,855,428,246,329
Spis2235,417,266,1114,540,334,401
Spis2236,529,375,1156,527,399,441
Spis2237,148,75,354,172,104,148
Spis2238,559,300,1309,591,363,401
Spis2239,157,67,754,184,116,297
Spis2240,190,112,398,195,113,184
Spis2241,245,152,603,331,201,256
Spis2242.t1,137,43,435,198,120,163
Spis2243,214,127,469,230,147,200
Spis2244,962,432,1952,958,566,722
Spis2245,1299,812,2718,1275,868,1470
Spis2246,219,141,760,346,223,278
Spis2247,245,106,579,285,170,179
Spis2248,571,379,1350,621,397,545
Spis2249,361,239,917,477,312,349
Spis2250,562,350,1559,658,334,457
Spis2251,765,462,2178,934,575,737
Spis2252,224,129,579,292,323,211
Spis2253,324,169,701,356,202,274
Spis2254.t1,319,157,983,313,229,334
Spis2255,976,654,2376,1295,666,834
Spis2256,1292,638,3123,1401,806,1091
Spis2257,101,86,245,147,96,105
Spis2258,882,538,2154,972,593,838
Spis2259,507,337,1522,636,366,424
Spis2260,119,85,231,157,105,103
Spis2261,57,28,105,58,38,46
Spis2262,300,144,723,370,146,251
Spis2263,197,135,634,326,178,246
Spis2264,386,257,1207,485,300,456
Spis2265,922,517,2462,1146,724,875
Spis2266,722,426,1883,987,396,675
Spis2267,190,130,497,244,145,222
Spis2268,182,118,517,190,122,214
Spis2269,479,247,1205,478,327,395
Spis2270,67,53,160,80,66,51
Spis2271.t1,140,86,264,158,109,88
Spis2272,1309,670,2988,1467,771,1158
Spis2273,431,253,1365,446,335,446
Spis2274,924,478,2162,1232,690,707
Spis2275,874,425,2074,798,583,878
Spis2276.t1,5,11,16,3,1,3
Spis2277,281,195,858,351,242,380
Spis2278,132,106,410,215,125,120
Spis2279,695,350,2077,616,397,741
Spis2280,168,96,633,176,132,263
Spis2281,690,288,1676,915,448,507
Spis2282,416,209,804,403,272,276
Spis2283,293,126,578,319,187,244
Spis2284,307,122,477,241,150,177
Spis2285,223,178,766,253,166,300
Spis2286,326,146,681,378,202,215
Spis2287,423,258,773,491,248,307
Spis2288,1027,726,2402,1229,747,968
Spis2290,338,225,907,382,251,308
Spis2291,260,179,659,314,199,264
Spis2292,108,74,216,121,71,92
Spis2293,310,165,728,379,209,263
Spis2294,60,39,140,68,37,49
Spis2295,74,78,184,113,72,84
Spis2296,242,135,504,300,179,176
Spis2297,305,216,789,382,227,259
Spis2298,217,112,546,275,125,186
Spis2299,219,94,341,144,81,128
Spis2300,462,179,615,438,231,213
Spis2301,509,352,1823,779,445,654
Spis2302,342,145,790,491,269,304
Spis2303,629,371,1584,692,460,624
Spis2304,156,96,360,206,111,131
Spis2305,192,94,477,241,119,205
Spis2306,498,404,1108,521,357,509
Spis2307,270,116,749,321,175,246
Spis2308,555,362,1591,681,338,685
Spis2309.t2,58,32,112,59,36,47
Spis2310,310,152,725,388,222,256
Spis2311,52,49,217,94,43,69
Spis2312,466,215,1093,548,277,374
Spis2313,520,256,964,510,290,423
Spis2314,125,67,245,129,114,90
Spis2315,545,294,1233,659,403,517
Spis2316,201,158,858,283,172,252
Spis2317,1647,882,3652,2030,1192,1290
Spis2318,374,207,593,409,272,279
Spis2319,438,204,900,463,227,301
Spis2320,775,174,1011,476,315,339
Spis2321,484,192,931,398,312,293
Spis2322,103,54,160,93,69,48
Spis2323,476,339,1086,562,375,446
Spis2324,369,189,814,439,286,326
Spis2325.t2,482,206,1193,423,263,410
Spis2326,273,196,862,389,282,374
Spis2327,196,119,426,165,89,139
Spis2328,110,86,373,156,102,120
Spis2329,1194,785,2863,1349,838,1104
Spis2331,485,281,1294,594,320,409
Spis2332,372,168,800,455,228,264
Spis2333,38,25,131,52,28,42
Spis2334,406,266,1094,452,268,331
Spis2335,262,135,487,276,150,187
Spis2336,296,205,688,403,204,298
Spis2337,906,384,2019,961,564,636
Spis2338,714,322,1481,934,526,590
Spis2339,282,174,885,435,244,334
Spis2340,251,108,543,266,141,228
Spis2341,97,65,261,115,83,91
Spis2342,640,456,1287,813,498,582
Spis2343,389,292,970,361,248,439
Spis2344,20,23,47,33,13,29
Spis2345,88,32,132,29,26,42
Spis2346,1551,861,3748,1835,1048,1254
Spis2347,173,85,366,187,116,134
Spis2348,254,149,845,272,188,302
Spis2349,266,181,794,404,228,300
Spis2350,194,132,535,277,157,227
Spis2351,332,173,662,403,214,273
Spis2352,260,172,871,303,179,297
Spis2353,556,310,1727,690,388,627
Spis2354,1473,726,2367,976,675,1155
Spis2355,325,208,800,419,233,303
Spis2356,1379,685,2623,1587,895,1041
Spis2357,368,219,945,479,239,312
Spis2358,337,204,787,365,205,215
Spis2359,577,370,1409,673,374,498
Spis2360,423,199,933,419,276,373
Spis2361,114,66,326,124,76,106
Spis2362.t1,720,507,2093,1063,674,822
Spis2363.t2,245,136,578,283,166,225
Spis2364,540,283,1437,744,427,473
Spis2365,270,130,708,285,195,226
Spis2366,212,103,525,188,128,196
Spis2367,110,74,252,162,112,136
Spis2368,113,93,367,367,241,292
Spis2369,550,295,1007,614,367,360
Spis2370,1149,762,2918,1336,889,1229
Spis2371,137,88,325,158,89,144
Spis2372,247,147,650,341,226,217
Spis2373,291,181,749,362,217,253
Spis2374,831,507,1879,1086,683,681
Spis2375,623,464,1577,916,613,641
Spis2376,307,167,762,334,170,288
Spis2377,457,312,1228,569,304,471
Spis2378,465,350,1785,501,349,645
Spis2379,371,218,828,466,238,275
Spis2380,303,162,809,292,190,265
Spis2381,293,137,705,287,183,290
Spis2382,229,136,548,244,131,172
Spis2383.t1,53,36,92,30,32,27
Spis2384.t1,163,73,291,118,81,74
Spis2385,227,126,575,328,165,221
Spis2386,455,237,846,548,317,345
Spis2387,1006,574,2828,1136,792,1057
Spis2388,233,129,667,292,156,197
Spis2389,278,199,785,392,274,313
Spis2390,779,546,1449,677,372,678
Spis2391,757,444,1967,904,560,634
Spis2392,918,384,2060,956,479,546
Spis2393,464,326,1399,452,352,573
Spis2394,164,120,404,224,139,153
Spis2395,87,66,348,205,106,159
Spis2396,230,133,499,240,133,177
Spis2397,2765,1765,7026,4273,2143,2441
Spis2398,138,88,506,208,116,167
Spis2399,384,210,1395,544,365,437
Spis2400,203,129,494,181,103,211
Spis2401,345,197,815,390,260,239
Spis2402,571,240,1159,712,399,416
Spis2403,827,438,1463,839,578,470
Spis2404,560,228,1066,428,385,520
Spis2405,327,205,1044,419,237,356
Spis2406,191,117,391,222,135,137
Spis2407,423,199,1169,494,300,460
Spis2408,1043,647,1777,1813,922,647
Spis2409,203,114,523,208,139,192
Spis2410,648,322,1462,608,392,494
Spis2411,687,324,1328,795,412,459
Spis2412,1105,435,1879,958,585,824
Spis2413,207,106,528,284,164,210
Spis2414,426,309,1243,567,332,490
Spis2415,455,250,1148,446,278,377
Spis2416,398,175,912,442,258,336
Spis2417,63,26,123,99,44,40
Spis2418,168,102,555,217,161,183
Spis2419,189,98,342,163,96,114
Spis2420,225,108,511,278,139,192
Spis2421,729,452,1748,858,593,659
Spis2422,210,130,519,251,170,215
Spis2423,44,35,147,56,41,47
Spis2424,217,144,669,201,149,230
Spis2425,641,410,1489,760,455,578
Spis2426,605,400,1671,879,425,534
Spis2427.t1,30,21,58,28,15,14
Spis2428,151,87,375,147,103,152
Spis2429,416,174,636,586,279,249
Spis2430,311,173,820,317,168,310
Spis2431,533,340,1414,624,430,483
Spis2432,238,125,523,267,133,198
Spis2433,351,189,825,326,200,284
Spis2434,491,300,1588,592,370,430
Spis2435,171,128,586,240,164,180
Spis2436,579,587,3078,1008,627,1907
Spis2437,660,388,1602,699,409,566
Spis2438,305,192,855,377,235,304
Spis2439,538,324,1202,721,400,414
Spis2440.t1,243,136,590,360,204,261
Spis2441,242,124,667,274,194,229
Spis2442,425,266,1138,581,313,325
Spis2443,439,313,651,648,313,373
Spis2444,404,197,651,382,231,271
Spis2445,693,411,1514,664,442,561
Spis2446,998,524,2174,566,494,889
Spis2447,150,77,394,165,105,160
Spis2448,379,163,942,411,255,314
Spis2449,384,264,1077,528,268,407
Spis2450,532,306,1912,662,361,645
Spis2451,929,493,2297,1277,695,765
Spis2452,956,560,2184,1190,606,797
Spis2453,10695,5129,20969,8584,5793,10228
Spis2454,396,193,1059,399,191,315
Spis2455,13155,14196,31199,17010,14119,9285
Spis2456,208,109,500,184,126,155
Spis2457,29,31,103,34,41,41
Spis2458,1532,1015,4098,2259,1131,1394
Spis2459,76,38,171,78,40,69
Spis2460.t1,107,54,292,119,72,95
Spis2461,70,41,227,113,65,65
Spis2462,1656,921,4355,2361,1306,1671
Spis2463,66,39,342,87,54,128
Spis2464,404,185,957,410,265,347
Spis2465,149,74,337,191,102,125
Spis2466,253,172,806,276,158,289
Spis2467,413,214,839,468,263,311
Spis2468,376,300,977,539,330,333
Spis2469,187,50,309,127,78,86
Spis2470,437,209,1045,524,250,375
Spis2471,205,95,480,196,157,198
Spis2472,389,176,768,410,232,264
Spis2473,154,117,518,212,153,186
Spis2474,414,315,1124,573,282,452
Spis2475,208,52,276,137,78,93
Spis2476.t1,299,145,1036,358,232,375
Spis2477,605,280,1660,938,475,520
Spis2478,480,245,1152,549,314,321
Spis2479,570,283,1297,676,407,504
Spis2480,190,124,527,290,157,176
Spis2481,61,40,160,68,54,57
Spis2482,1548,1161,4699,801,565,1118
Spis2483,355,237,871,448,308,305
Spis2484,457,234,1095,455,287,393
Spis2485,369,244,921,502,304,331
Spis2486,396,256,996,445,290,324
Spis2487,368,223,1014,441,267,333
Spis2488,425,245,888,423,255,292
Spis2489,639,309,1616,734,410,518
Spis2490,166,108,500,187,133,176
Spis2491,338,171,695,320,232,243
Spis2492,328,182,922,397,204,421
Spis2493,289,131,521,446,229,158
Spis2494,313,147,877,359,233,296
Spis2495,218,112,569,243,187,202
Spis2496,220,144,541,228,143,215
Spis2497,160,78,419,202,128,170
Spis2498,340,137,953,336,235,328
Spis2499,234,146,464,213,87,172
Spis2500,700,357,1774,923,539,588
Spis2501,94,86,294,132,65,120
Spis2502,94,39,157,63,50,53
Spis2503,170,81,525,244,135,187
Spis2504,429,289,999,752,352,298
Spis2505,239,136,461,234,148,176
Spis2506,318,126,711,357,186,253
Spis2507,42,33,113,61,28,48
Spis2508,97,49,254,157,68,87
Spis2509,252,116,495,229,154,196
Spis2510,46,19,73,40,18,27
Spis2511,262,152,656,293,178,209
Spis2512,359,173,741,400,245,311
Spis2513,697,499,1504,1050,580,666
Spis2514,388,219,812,329,201,330
Spis2515,23,9,61,32,12,25
Spis2516,155,92,379,143,114,147
Spis2517,243,161,660,712,263,656
Spis2518,386,169,1209,400,232,415
Spis2519,244,151,678,325,187,302
Spis2520,294,172,590,231,185,256
Spis2521,62,35,176,102,59,70
Spis2522,174,112,392,203,131,165
Spis2523,392,233,971,515,313,339
Spis2524,82,42,200,93,52,75
Spis2525,174,112,451,145,96,139
Spis2526,141,53,332,99,76,88
Spis2527,1614,628,4033,1423,796,1282
Spis2528,114,66,302,158,88,130
Spis2529,25,31,69,29,22,38
Spis2530,140,72,370,204,107,128
Spis2531,227,150,443,197,137,246
Spis2532,268,143,844,322,187,271
Spis2533,403,259,891,466,333,401
Spis2534,105,69,324,125,80,106
Spis2535,114,69,295,144,74,93
Spis2536.t1,235,105,615,296,167,215
Spis2537,82,31,158,95,58,42
Spis2538,170,60,383,244,122,145
Spis2539,193,108,426,202,110,114
Spis2540,1405,1025,2891,1365,1134,1437
Spis2541,95,72,363,169,66,154
Spis2542,73,42,160,49,47,67
Spis2543,29,30,99,55,18,22
Spis2544,171,80,285,140,94,75
Spis2545,278,142,801,319,185,283
Spis2546,110,52,235,87,61,98
Spis2547.t1,148,93,462,233,131,211
Spis2548,64,44,141,80,49,53
Spis2549,46,26,49,53,25,31
Spis2550,35,30,98,55,21,21
Spis2551,13,11,32,18,8,16
Spis2552,630,210,1065,282,212,361
Spis2553,4895,1865,8131,3298,2291,3734
Spis2554,51,16,124,78,55,69
Spis2555,40,17,79,36,25,27
Spis2556,155,110,283,142,121,120
Spis2557,130,107,334,140,82,118
Spis2558,845,587,1990,1051,661,822
Spis2559,378,231,613,373,196,214
Spis2560,176,151,389,172,129,147
Spis2561,128,59,248,107,70,99
Spis2562,62,49,174,86,65,72
Spis2563,233,175,400,145,123,149
Spis2564,925,581,1936,696,509,841
Spis2565,119,43,215,81,56,74
Spis2566,100,54,296,152,83,101
Spis2567,46,27,138,46,23,48
Spis2568,180,121,394,223,142,146
Spis2569,319,152,553,339,205,227
Spis2570,58,31,157,63,39,49
Spis2571,100,61,212,89,63,70
Spis2572,319,144,347,201,129,143
Spis2573.t2,221,117,428,165,106,117
Spis2574,40,22,100,30,23,28
Spis2575,526,341,1012,425,348,431
Spis2576,314,187,966,442,251,423
Spis2577,468,277,1036,442,292,370
Spis2578,564,369,1258,584,417,620
Spis2580,503,247,1142,499,303,554
Spis2581,361,206,998,354,250,335
Spis2582,626,310,1389,709,438,545
Spis2583,348,211,997,311,214,300
Spis2584,499,261,1259,543,402,419
Spis2585,231,148,488,247,152,222
Spis2586,291,189,556,334,195,253
Spis2587,333,202,806,367,258,333
Spis2588,289,172,587,298,147,249
Spis2589,501,307,1176,456,321,464
Spis2590,58,38,153,65,47,55
Spis2591,82,56,169,111,49,66
Spis2592,15,5,9,12,11,3
Spis2593,0,1,2,0,0,2
Spis2594,2,3,0,1,1,0
Spis2595,15,9,12,10,8,6
Spis2596,52,30,104,58,32,41
Spis2597,38,27,121,67,24,50
Spis2598,13,14,32,29,7,17
Spis2599,2,3,4,4,3,5
Spis2600,12,7,38,26,12,16
Spis2601,0,0,0,1,0,0
Spis2602,1,0,0,1,0,0
Spis2603,105,60,305,122,75,98
Spis2604,287,176,869,410,224,377
Spis2605,0,0,1,0,0,2
Spis2606.t1,158,121,484,167,96,163
Spis2607,0,0,0,0,0,0
Spis2608,2,1,4,3,4,1
Spis2609,10,7,25,15,7,7
Spis2610,17,11,44,15,8,13
Spis2611,38,28,136,44,22,44
Spis2612,47,25,116,42,22,38
Spis2613.t1,102,49,220,85,73,83
Spis2614,9,4,22,8,6,3
Spis2615,322,188,676,241,186,312
Spis2616,171,88,393,186,106,127
Spis2617,311,189,714,231,157,159
Spis2618,96,73,256,94,62,87
Spis2619,462,151,946,269,194,312
Spis2620,21,9,54,22,19,13
