Gene,AJ2,AJ3,AJ4,AN2,AN3,AN4
Spis140,11157,5719,25584,11782,7007,9215
Spis141.t1,910,391,1896,869,455,587
Spis142,10516,5011,24129,11128,6557,8256
Spis143,12561,6256,28849,14628,8597,10704
Spis144,12277,6474,28150,13634,7948,10185
Spis145,8170,4741,20777,9398,5603,7611
Spis146,9999,5128,27118,10440,6646,10190
Spis147,22468,10823,45112,23444,15111,16495
Spis148,14078,5786,30280,14032,8476,11233
Spis149,11043,5545,26497,11775,7251,9906
Spis150,14229,7809,34292,14774,9510,14337
Spis151.t1,249,95,429,149,120,118
Spis152.t1,31,15,38,34,25,12
Spis153,22568,9922,50806,20877,12585,18370
Spis155.t1,114,52,211,54,36,56
Spis156,17972,9123,39316,17941,10205,13342
Spis157.t1,117,73,241,63,70,72
Spis158,6754,3816,16756,7249,4468,5825
Spis159,12045,5869,28024,13876,8442,10577
Spis160,14906,7319,35927,15937,9455,12227
Spis161,14763,8654,32362,16302,10242,14312
Spis162,16126,9345,32808,19352,11139,11909
Spis163,13926,8034,30840,13954,9808,13959
Spis164.t1,158,95,409,153,96,125
Spis165,7980,4471,20216,8642,5363,7369
Spis166,11949,6168,28366,13298,7502,10933
Spis167,5128,2904,12450,5793,3712,4551
Spis168,10076,5863,25289,13004,7786,10139
Spis169,7922,4318,17417,9929,5431,6662
Spis170,8886,4713,25421,9571,6319,9787
Spis171,11295,5780,27235,12564,7723,10244
Spis172,10798,5362,27476,13006,7563,10037
Spis173,9940,5385,22768,10960,6504,8063
Spis174,13476,6561,27964,12227,7789,11618
Spis175,13600,7271,35960,16219,9174,13041
Spis176,16246,8324,38212,19218,11025,13204
Spis177,10495,5718,25815,11719,6951,9901
Spis178,15424,9296,37681,15408,10297,16772
Spis179,13613,7206,30731,15439,9419,12747
Spis180,11069,5140,21707,11765,6847,8164
Spis181,10208,6025,27428,11944,7680,10138
Spis182,12386,6071,27777,12680,7896,11231
Spis183,15818,8473,34962,14996,9512,14353
Spis184,7048,3334,15653,7779,4674,6472
Spis185,7953,3966,19156,8749,5119,7240
Spis186,13443,6709,31259,13190,8024,11000
Spis187,22396,14088,58567,24838,17532,28409
Spis188,11221,6038,28491,13527,8052,10313
Spis189,9749,5017,23355,10857,6666,8883
Spis190,17462,11061,39039,21576,13071,17080
Spis191.t2,77,34,219,67,29,80
Spis192.t2,276,161,932,270,202,289
Spis193,11791,7154,26684,12721,8651,11866
Spis194,13824,6776,34523,15529,8769,13541
Spis195,6233,3314,14563,7042,3956,5914
Spis196,6327,3428,17000,7279,4775,6186
Spis197,5904,2940,14905,6320,3770,5365
Spis198,7912,4356,19732,8553,5100,6874
Spis199,8783,4690,21488,9156,5809,8171
Spis200,8004,5394,15812,12790,6943,6056
Spis201,8952,5502,21908,9214,6447,10326
Spis202,15338,8012,33758,15805,10144,13998
Spis203,11552,6255,24614,14180,8385,10982
Spis204,5828,3301,16469,6697,4195,5949
Spis205,10776,6084,25814,11845,7273,9318
Spis206,10535,5565,26180,12517,6976,9189
Spis207,4515,2346,10844,4946,2980,4345
Spis208,8134,4430,20248,9205,5510,7735
Spis209,6326,3163,13258,5962,3971,5127
Spis210.t1,50,18,135,65,47,56
Spis211,5940,3238,14878,7235,4250,5725
Spis212,17774,10596,40743,17739,11427,17352
Spis213,6080,3344,14445,6641,4025,4991
Spis214.t1,44,35,86,38,33,41
Spis215,7495,4223,18749,9472,5432,6601
Spis216,7766,3678,18129,7877,4757,6846
Spis218.t1,158,79,385,168,135,122
Spis219,8328,4701,21405,6969,4310,5826
Spis220,4226,2243,11971,5252,3109,4164
Spis221,7258,3845,16986,9108,5170,6538
Spis222,4474,2473,10734,5117,3063,3805
Spis223,8117,3630,18122,6569,4132,5800
Spis224,6504,3589,14736,6820,4151,6144
Spis225,6391,3801,16655,7511,4466,5755
Spis226,3586,2108,9572,4485,2508,3519
Spis227,15381,11551,19108,13721,14044,14618
Spis228,4598,2357,10006,4833,2757,3567
Spis229,2167,1350,5131,2533,1485,1858
Spis230,3836,2254,9499,4652,2674,3746
Spis231,4679,2484,10487,5515,3213,3852
Spis232,5091,2694,11131,5193,3450,4143
Spis233,3824,2002,9070,4668,2573,3165
Spis234,3730,2252,8999,4316,2590,3403
Spis235,5932,3263,12958,6262,3648,5059
Spis236,4582,2662,10826,5499,3344,4121
Spis237,4944,3212,12819,6114,3808,4892
Spis238,4197,2258,10267,5031,3065,3661
Spis239,6704,4095,17104,8703,4778,5987
Spis240,4775,2572,10065,5776,3516,3726
Spis241,4876,2412,10677,5116,3001,3967
Spis242,3483,2122,8437,4271,2541,3092
Spis243,4215,2760,12566,5193,3152,5115
Spis244,4859,2772,11332,5193,3161,4283
Spis245,28508,22070,64496,31677,23105,23694
Spis246,3854,2153,9820,4857,2800,3608
Spis247,3986,2048,9881,4892,2754,3493
Spis248,4870,3160,13937,4751,3028,4144
Spis249,2608,1360,6468,2931,1811,2385
Spis250,2450,1331,6212,3200,1782,2129
Spis251,2803,1644,6773,3724,2030,3088
Spis252,3072,1484,7516,2999,1818,2582
Spis253,2455,1296,5678,2738,1650,2146
Spis254,2461,1616,5584,2611,1851,2465
Spis255,7175,3189,12754,5477,3675,5503
Spis256,2289,1413,4750,2048,1405,1905
Spis257,2897,1745,6131,2787,1916,2558
Spis258,3983,2254,9399,4121,2680,3674
Spis259,277,186,606,357,182,245
Spis260,633,401,1836,813,451,709
Spis261,1576,807,3523,1216,837,1178
Spis262,731,426,1660,651,457,704
Spis263,1554,811,2781,1940,1070,1142
Spis264,621,240,1177,585,317,452
Spis265,1204,573,3113,1550,898,1186
Spis266,1319,1036,10888,2000,1478,3165
Spis267.t1,598,385,1033,783,441,418
Spis268,966,598,2679,1085,654,858
Spis269,1035,431,1805,1121,630,650
Spis270,920,475,2124,949,634,749
Spis271,1800,863,4958,1530,928,1366
Spis272,341,198,922,328,230,324
Spis273,2677,1628,6607,3218,1781,2819
Spis274,4688,2913,12079,5525,3320,5163
Spis275,6125,3749,15230,7693,4714,6690
Spis276,918,472,2494,1124,679,838
Spis277,1456,728,3361,1483,871,1261
Spis278,2380,1225,5370,2769,1674,2015
Spis279,554,354,1366,712,430,593
Spis280,270,133,766,301,203,311
Spis281,894,509,2396,1086,582,865
Spis282,1807,905,4199,1889,1173,1583
Spis283,1623,856,4396,1756,977,1563
Spis284,483,320,1733,577,402,591
Spis285,283,179,790,373,209,290
Spis286,1281,616,3524,1549,981,1362
Spis287,1095,597,3128,1401,818,1126
Spis288,5228,1956,14016,4034,2589,5908
Spis289,596,388,1493,591,431,527
Spis290,1713,1057,3753,1520,963,1396
Spis291,7708,5200,16068,8466,5803,9434
Spis292,3311,2223,6393,2997,2658,3976
Spis293,642,270,2242,649,444,697
Spis294,705,374,1950,791,451,716
Spis295,23946,10798,55163,34536,18599,24071
Spis296,672,312,1373,774,460,551
Spis297,628,327,1720,725,398,676
Spis298,923,574,2353,1230,699,1248
Spis299,1084,552,2668,1165,608,854
Spis300,768,328,1758,734,423,628
Spis301,236,156,604,309,232,242
Spis302,3973,2320,8649,3722,2763,4575
Spis303.t1,147,86,491,191,116,167
Spis304,999,576,2488,1273,767,992
Spis305,1090,627,2838,1054,736,1049
Spis306,751,455,2163,857,563,732
Spis307,611,314,1241,555,381,441
Spis308,1566,870,3528,1634,1051,1219
Spis309,7171,2739,14288,4651,2521,3029
Spis310,470,208,1106,505,312,360
Spis311.t1,354,167,799,407,204,258
Spis312,1009,484,2544,1096,634,871
Spis313,2137,1118,5156,2810,1646,1843
Spis314.t1,31,26,141,43,25,40
Spis315,2064,812,3811,1880,1023,1280
Spis316,1057,494,3159,1284,731,1287
Spis317,992,621,3114,1154,680,1081
Spis318.t1,397,181,942,239,185,282
Spis319,752,357,2129,807,488,724
Spis320,1205,407,2042,932,510,699
Spis321,1564,892,4029,1775,988,1489
Spis322,180,128,523,222,151,159
Spis323,471,338,1373,522,342,482
Spis324,1456,1028,3855,1887,967,1716
Spis325,255,136,726,253,202,250
Spis326,1072,580,2357,1590,869,985
Spis327,1542,710,3346,1629,918,1202
Spis328,3143,1441,4085,4370,2499,1565
Spis329,1773,1003,4980,1987,1134,1603
Spis330,3144,1354,7382,3745,2054,2409
